lat,lng,星级,餐厅名称
30.24868584,120.1728033,92,新白鹿餐厅(西湖银泰店)
30.246309,120.17412,94,高银美食街
30.23788398,120.1767713,88,南宋御街中华美食夜市
30.2583828,120.1700833,66,知味观·糕点(湖滨1店)
30.25647116,120.1471675,68,楼外楼(孤山路店)
30.24555268,120.1303104,90,弄堂里(龙井路店)
30.26391983,120.1708721,84,新丰小吃(庆春店)
30.25753212,120.1704617,88,杭州酒家
29.605716,119.034009,100,千岛湖鱼街
30.25661696,120.1768547,82,奎元馆(解放路总店)
30.24617806,120.1776816,90,咬不得高祖生煎(高银街店)
30.2564642,120.1703703,84,绿茶(湖滨店)
30.25758171,120.1340708,92,西子湖四季酒店·金沙厅
30.298556,120.108683,80,竞舟路美食街
30.25952911,120.1709749,80,弄堂里（湖滨银泰店）
30.23727608,120.1427091,82,知味观·味庄(杨公堤店)
29.61001015,119.0504544,86,千岛湖鱼味馆(千岛湖店)
29.60956219,119.0838148,90,千岛湖滨江希尔顿度假酒店BBQ自助餐
30.24630165,120.1771446,92,河坊街特色小吃
30.26048088,120.1684648,84,杭州君悦酒店·湖滨28中餐厅
30.24594263,120.1840902,92,老头儿油爆虾(姚园寺店)
30.244238,120.199035,80,近江海鲜美食街
30.27131417,120.0970164,100,外婆家(西溪天堂店)
30.245857,120.1722111,70,知味观(吴山广场店)
30.26760481,120.1660378,84,新白鹿餐厅(龙游路店)
30.267408,120.15923,80,保俶路美食街
30.245924,120.1772629,80,清河小吃
29.60645609,119.0320184,90,湖外湖(千岛湖大排档店)
29.61165118,119.0447927,100,千岛湖岛外新岛酒楼
30.28192848,120.1092621,80,知味观(文苑店)
30.23697662,120.1291962,86,绿茶(龙井路店)
30.272095,120.170088,80,百井坊巷美食街
30.24883415,120.1724702,82,绿茶餐厅(西湖银泰店)
30.27084479,120.1877094,70,李记酥鱼(凤起农贸市场店)
30.22328377,120.1415085,86,新榆园(虎跑店)
30.27986145,120.1675131,70,外婆家.第二乐章(杭州大厦店)
30.27485529,120.130931,80,浙大留学生食堂
29.60918984,119.0579087,76,秀水人家食府
30.24691349,120.108547,88,十方苑
30.24635696,120.1214943,90,旅马餐厅(灵隐店)
30.26415791,120.1300264,88,朴墅餐厅(青芝坞店)
30.2256124,120.1359032,84,灶丰年间(满陇桂雨店)
30.26244264,120.1272888,90,山外山菜馆(玉泉路店)
30.26509857,120.2019547,82,张生记(双菱店)
30.24618698,120.1766793,68,皇饭儿(高银街总店)
29.61076604,119.1012001,96,千岛湖钓鱼岛品鱼馆
30.24200439,120.1111722,92,素描餐厅
30.24573511,120.1780218,82,状元馆
30.22528839,120.1364469,90,桂语山房高级餐厅
30.240257,120.177352,84,菊英面店(中山南路店)
30.24729806,120.1755777,80,葱包桧
29.60936047,119.0839153,70,千岛湖希尔顿酒店泛亚餐厅
29.61205202,119.0454924,90,千岛鱼府
30.25526153,120.1691548,100,青藤茶馆(南山路店)
29.79299927,119.7036972,70,娘家
30.22744925,120.117434,88,龙井菜馆
30.26766396,120.1705799,66,新丰小吃
30.2656054,120.2112415,70,银泰美食城
30.23567025,120.1400211,100,La Villa Restaurant
30.24830463,120.1749771,100,福缘居酒楼
30.16974906,120.2520282,96,泰香阁
30.26917481,120.1697761,80,天香楼大酒店(天香楼大酒店)
30.28100661,120.1564183,90,外婆家(杭州马塍店)
30.17622742,120.1605283,80,垃圾街美食一条街
30.24554885,120.1312113,70,西湖边小吃店
30.27610252,120.1427095,90,杭州SOS酒吧
30.23460007,120.126297,82,茶人村-百年经典演绎杭帮味道
30.24332809,120.17749,86,新周记(鼓楼总店)
29.61425214,119.0457919,70,绿城千岛湖喜来登度假酒店采悦轩中餐厅
30.24331856,120.1408595,86,西湖国宾馆紫薇厅
30.22494316,120.1336719,100,飞鸟集
30.24028272,120.1769741,90,孙奶奶葱包烩
30.26692963,120.155394,100,纯真年代书吧(宝石山店)
30.27735825,120.1645563,70,甘其食(武林路店)
30.23523903,120.1392081,80,解香楼
30.25664969,120.1832448,100,奎元馆
30.25778639,120.17052,84,1921湖景餐厅(1921湖景餐厅店)
30.07915674,120.0070978,70,富春山居度假酒店▪亚洲餐厅
30.22994183,120.2037022,100,杭州尊蓝钱江豪华精选酒店
30.27829756,120.1682714,90,外婆家●杭儿风(杭州大厦B座店)
30.27375221,120.1672505,86,老头儿油爆虾（武林店）
30.25943313,120.1730778,100,友好饭店西湖旋转全湖景餐厅
30.31573925,120.3504299,80,猫迷咖啡(猫咖啡馆)
29.86767927,119.8359633,80,荻浦人家
30.25796553,120.140845,96,咬不得高祖生煎(岳庙店)
30.23645555,120.1242003,90,汝拉·茶舍·西湖龙井私房菜(龙井路店)
30.25005847,120.1706654,100,徐记厨房私房菜
30.24115562,120.1805853,84,方老大面
30.35264355,119.4633776,70,天目山农家乐
30.32721146,120.1360031,100,mamala 西餐厅
30.18265435,120.148065,80,楼外楼
30.25311186,120.1671551,80,外婆家(西湖天地南山路店)
30.23566818,120.1401269,88,曼殊怀石料理
29.5868826,119.0486213,60,千岛湖渔村
30.24891393,120.1893131,100,舟山朱家尖东沙
30.30330896,120.174576,100,海底捞火锅(绍兴路店)
30.25743072,120.2070544,90,帕米尔餐厅
30.18049295,120.1463801,70,杭州餐饮
30.25557407,120.169667,76,新白鹿餐厅(解百新元华店)
30.28064346,120.0779478,70,汝拉小镇(西溪店)
30.25767326,120.1718247,84,吴山烤禽(吴山店)
30.27554494,120.1653397,70,浙江特产(武林店)
30.30414387,120.394191,70,多山海鲜自助火锅
30.23606972,120.3511968,70,烧烤园
30.26166344,120.167638,100,天天旺酒楼
30.21370125,120.1604453,80,德明饭店(八卦新村店)
30.25726025,120.0605974,100,西溪花间堂茴香餐厅
30.259976,120.22157,100,杭州柏悦酒店·潮餐厅&酒吧
30.32130051,120.3411026,80,翰坂自助餐(高沙店)
30.24627558,120.1779823,80,光复路小吃街
30.28809043,120.1828145,80,鼎燕餐厅
30.26913437,120.1698062,80,浙江饭店名人24小时餐厅
30.1848643,120.2686252,60,帝豪食府
30.3252171,120.3526454,70,香港岛餐厅
30.17694014,120.1039743,100,孙家正店
30.17662684,120.275203,90,锅内锅外(银隆店)
30.24619914,120.1745137,60,老杭州滋味
30.26350157,120.1755917,90,娃哈哈同乐大酒店
30.25,120.1302197,74,花房创意私厨
30.23289075,119.7170653,70,可莎蜜儿(城中店)
30.30396065,120.153287,100,妙醍醐素食自助餐馆(香积寺店)
30.24739647,120.1755765,100,高银巷美食街
29.8037457,119.705707,70,桐庐乡之味
29.610543,119.041555,70,鱼宴馆·农家菜(千岛湖总店)
30.24560165,120.1775884,84,御乐堂·戏茶食驿
30.22356606,120.1298848,84,格物餐厅
30.25943184,120.1344277,90,山外山·林语花园餐厅
30.26052,120.170042,60,外婆家(湖滨银泰in77店)
30.24279976,120.1825038,88,慧娟面馆·餐厅(望江路店)
30.25594236,120.1875006,80,新丰小吃(解放店)
30.30329514,120.161263,80,老头儿油爆虾(古水店)
30.2231366,120.1424212,90,隐上花园餐厅(虎跑路店)
30.26576839,120.1582127,80,酒旗风(西湖断桥店)
30.27608897,120.176999,100,外婆家(杭州杭报店)
30.24107439,120.4437516,88,萧山机场咖啡厅
30.17759323,120.2742848,100,新白鹿餐厅(萧山银隆店)
30.27526649,120.1703794,100,绿茶餐厅(百大店)
30.21378845,120.1514573,60,杭州味道
30.27650833,120.1473536,100,金橘餐厅(杭大店)
30.30205954,120.1642395,90,德泓面馆
30.48718718,120.196481,70,塘栖水乡酒楼
30.31348678,120.0905206,70,清真餐厅
30.259473,120.173086,100,湖月·割烹料理(湖滨店)
30.24963691,120.1722704,100,哥老官重庆美蛙鱼头(西湖银泰十一哥店)
30.24554882,120.2190872,100,泛海钓鱼台酒店·芳菲苑
30.353631,119.43596,100,西天目山龙凤竹农家乐
30.24549652,120.1974761,70,大唐沈家门海鲜(近江店)
30.22305192,120.1291921,80,山舍PillowBooks
30.27926014,120.1232296,60,凡老头米线砂锅
29.619469,119.051425,80,满意野生鱼馆
30.25454543,120.2187974,80,WIN HOUSE(来福士中心店)
30.25071261,120.2224766,100,川味观·毛肚火锅(来福士中心店)
29.60949701,119.0841161,80,滨江希尔顿度假酒店泛亚餐厅
30.26080866,120.1371365,100,老船长酒吧
30.28309822,120.1695019,94,新白鹿餐厅(西湖文化广场店)
30.25248528,120.1731359,86,灶丰年间（定安路店）
30.26857624,120.1580251,70,忠儿面馆(保俶路店)
30.23231697,120.1238769,84,龙井草堂
30.23242767,120.1035543,90,江南驿(上天竺店)
30.26639366,120.2105475,90,绿茶餐厅(庆春银泰店)
30.24145126,120.1039566,82,兰轩村庄食坊(安缦法云店)
30.28207117,120.1123513,60,顺旺基(竞舟路店)
30.28251293,120.1745917,80,和家院私房菜
30.26197739,120.1695315,40,西湖鱼
30.31823286,120.0983794,90,陇上秦轩biangbiang面(三墩温州村店)
30.17664194,120.1040742,70,叫花鸡
30.25995379,120.1711759,80,工联美食广场
30.23181575,120.1446141,80,皇觅楼
30.324761,120.149215,100,盒马鲜生(运河店)
30.279738,120.176443,100,杭州酒家
30.28342585,120.2123377,60,Oneday__.(创意设计中心店)
30.24198225,120.1628254,80,临湖素食
30.24535728,120.1706606,60,河坊美食街
30.24144817,120.1110324,60,她城有他
30.27368089,120.2194851,100,咬不得高祖生煎
30.27291905,120.149582,78,宴西湖
30.246537,120.177631,60,咬不得高祖生煎（解放路）
30.249719,120.171398,40,绿茶餐厅西湖银泰店
29.62195,119.048095,80,几荷
30.3071688,120.1125312,100,德天肥牛海鲜火锅
30.21255192,120.0941918,100,香芙茗茶楼
30.25644371,120.1718755,100,咬不得高祖生煎(解放店)
30.25948,120.170042,100,大兴糕团(湖滨银泰店)
30.26147234,120.1698724,100,古铺良食(学士路店)
30.24067481,120.163226,84,胡庆余堂药膳
30.24920082,120.1659012,82,西湖春天(南山店)
30.25667891,120.1778921,70,新开元大酒店
