lat,lng,星级,餐厅名称
30.2486858368,120.1728033303,92%,新白鹿餐厅(西湖银泰店)
30.246309,120.17412,94%,高银美食街
30.2378839802,120.176771313,88%,南宋御街中华美食夜市
30.2583827972,120.1700832861,66%,知味观·糕点(湖滨1店)
30.2564711601,120.1471674948,68%,楼外楼(孤山路店)
30.202365293,120.273873075,0%,千岛湖
30.2455526796,120.1303103546,90%,弄堂里(龙井路店)
30.2639198303,120.1708720547,84%,新丰小吃(庆春店)
30.2575321198,120.1704617008,88%,杭州酒家
29.605716,119.034009,100%,千岛湖鱼街
30.2566169613,120.1768547185,82%,奎元馆(解放路总店)
30.2461780554,120.1776815553,90%,咬不得高祖生煎(高银街店)
30.2564641973,120.1703703216,84%,绿茶(湖滨店)
30.386981,120.118578,0%,杭州美食
30.2575817108,120.1340708204,92%,西子湖四季酒店·金沙厅
30.298556,120.108683,80%,竞舟路美食街
30.2595291138,120.1709749348,80%,弄堂里（湖滨银泰店）
30.2372760773,120.1427091177,82%,知味观·味庄(杨公堤店)
29.6100101471,119.0504544363,86%,千岛湖鱼味馆(千岛湖店)
30.2587265096,120.1732818324,0%,杭州小吃
29.6095621917,119.0838147626,90%,千岛湖滨江希尔顿度假酒店BBQ自助餐
30.2909617233,120.1533991023,0%,温州南麂岛
30.246301651,120.177144605,92%,河坊街特色小吃
30.2604808807,120.1684647613,84%,杭州君悦酒店·湖滨28中餐厅
30.2459426284,120.1840902489,92%,老头儿油爆虾(姚园寺店)
30.244238,120.199035,80%,近江海鲜美食街
30.2713141711,120.0970164325,100%,外婆家(西溪天堂店)
30.2458570044,120.1722111037,70%,知味观(吴山广场店)
30.2676048142,120.166037845,84%,新白鹿餐厅(龙游路店)
30.267408,120.15923,80%,保俶路美食街
30.245923996,120.1772629176,80%,清河小吃
29.6064560926,119.0320183576,90%,湖外湖(千岛湖大排档店)
29.611651181,119.0447926711,100%,千岛湖岛外新岛酒楼
29.57094,119.569405,0%,开元芳草地酒店
30.2819284773,120.1092621187,80%,知味观(文苑店)
30.2369766235,120.1291962367,86%,绿茶(龙井路店)
30.272095,120.170088,80%,百井坊巷美食街
30.484124,120.189558,0%,Hello Kitty
30.243096909,120.1620229301,0%,杭州西湖柳莺里酒店
30.2488341535,120.1724702403,82%,绿茶餐厅(西湖银泰店)
30.270844785,120.1877094297,70%,李记酥鱼(凤起农贸市场店)
30.2232837677,120.1415084704,86%,新榆园(虎跑店)
30.2465153517,120.1739724966,0%,杭州特产
30.2798614502,120.1675131367,70%,外婆家.第二乐章(杭州大厦店)
30.2526619156,120.1704672189,0%,海底捞火锅(西湖店)
30.274855288,120.130931037,80%,浙大留学生食堂
29.6091898437,119.0579087269,76%,秀水人家食府
30.246913485,120.1085470018,88%,十方苑
30.2463569641,120.1214942748,90%,旅马餐厅(灵隐店)
30.2641579095,120.1300264039,88%,朴墅餐厅(青芝坞店)
30.2256124034,120.1359031866,84%,灶丰年间(满陇桂雨店)
30.265689097,120.1573204431,0%,夕霞小筑
30.2624426367,120.1272887906,90%,山外山菜馆(玉泉路店)
30.2696876526,120.1454205204,0%,夜景
30.2650985718,120.2019546633,82%,张生记(双菱店)
30.2461869771,120.1766793109,68%,皇饭儿(高银街总店)
29.6107660429,119.1012001318,96%,千岛湖钓鱼岛品鱼馆
30.2420043945,120.1111722306,92%,素描餐厅
30.2457351095,120.17802182,82%,状元馆
30.2252883911,120.1364469001,90%,桂语山房高级餐厅
30.240257,120.177352,84%,菊英面店(中山南路店)
30.2472980617,120.1755777108,80%,葱包桧
29.620959,119.048096,0%,云水谣
30.2467647033,120.1701602951,0%,鼎顺小吃
29.6093604746,119.0839152602,70%,千岛湖希尔顿酒店泛亚餐厅
29.6120520154,119.0454923621,90%,千岛鱼府
30.2269544787,120.1586941538,0%,别止咖啡
30.2552615289,120.1691548192,100%,青藤茶馆(南山路店)
29.5865722437,119.0033557535,0%,千岛湖伯瑞特度假酒店餐厅
30.2435722351,120.1038679025,0%,安缦法云西餐厅
30.2498493195,120.1713854846,0%,美食杭州
29.7929992676,119.7036972046,70%,娘家
30.2274492498,120.1174339582,88%,龙井菜馆
30.2676639557,120.1705798934,66%,新丰小吃
30.2656053958,120.2112415118,70%,银泰美食城
30.1696496144,120.2519281182,0%,杭州第一世界大酒店餐厅
30.2356702497,120.1400211287,100%,La Villa Restaurant
30.2549858093,120.1680823715,0%,雷峰塔
30.2483046338,120.1749771329,100%,福缘居酒楼
30.3273937487,120.150243534,0%,台州名小吃
30.1697490571,120.2520281883,96%,泰香阁
30.2691748109,120.1697761194,80%,天香楼大酒店(天香楼大酒店)
30.2810066076,120.1564182574,90%,外婆家(杭州马塍店)
30.1762274245,120.1605282521,80%,垃圾街美食一条街
30.245548848,120.1312113198,70%,西湖边小吃店
30.2761025204,120.142709518,90%,杭州SOS酒吧
30.2346000671,120.1262969971,82%,茶人村-百年经典演绎杭帮味道
30.2433280945,120.1774899774,86%,新周记(鼓楼总店)
29.6142521436,119.0457919282,70%,绿城千岛湖喜来登度假酒店采悦轩中餐厅
30.2433185577,120.1408594769,86%,西湖国宾馆紫薇厅
30.224943161,120.1336719419,100%,飞鸟集
30.3272023787,119.4548569254,0%,斐文野奢酒店(天目山上客堂店)
30.2402827201,120.1769740727,90%,孙奶奶葱包烩
29.9233606025,119.525431484,0%,红灯笼外婆家
30.2669296265,120.1553939993,100%,纯真年代书吧(宝石山店)
30.259976,120.22157,0%,杭州柏悦酒店·悦轩中餐厅
30.2773582529,120.1645562717,70%,甘其食(武林路店)
30.2352390289,120.1392080696,80%,解香楼
29.5539741516,119.1288053043,0%,千岛湖洲际酒店中餐厅
30.268239975,120.1655556628,0%,唛歌量贩KTV自助餐
30.2420795981,120.177376752,0%,鼓楼美食街
30.2566496931,120.183244754,100%,奎元馆
30.2577863891,120.1705199633,84%,1921湖景餐厅(1921湖景餐厅店)
30.0791567403,120.0070977913,70%,富春山居度假酒店▪亚洲餐厅
30.2299418326,120.2037021714,100%,杭州尊蓝钱江豪华精选酒店
30.04725173,119.1709286865,0%,温泉酒店
30.283391,120.21333,0%,拾二合(杭州创意设计中心店)
30.2782975633,120.1682714485,90%,外婆家●杭儿风(杭州大厦B座店)
30.2737522125,120.1672504656,86%,老头儿油爆虾（武林店）
30.2594331337,120.1730777553,100%,友好饭店西湖旋转全湖景餐厅
30.3157392467,120.3504299025,80%,猫迷咖啡(猫咖啡馆)
29.8676792692,119.8359632519,80%,荻浦人家
30.2579655308,120.140844994,96%,咬不得高祖生煎(岳庙店)
30.2364555467,120.1242003007,90%,汝拉·茶舍·西湖龙井私房菜(龙井路店)
30.2500584739,120.1706653941,100%,徐记厨房私房菜
30.2411556244,120.1805853454,84%,方老大面
30.3526435491,119.4633775666,70%,天目山农家乐
30.3272114616,120.1360030564,100%,mamala 西餐厅
30.241016,120.163173,0%,小筑里
30.139937,120.228646,0%,杭州开元森泊乐园度假酒店雨林餐厅
29.660399,119.716772,0%,天空之城
30.285347,120.037305,0%,阿里未来酒店·菲住布渴大堂吧
30.1826543493,120.1480649892,80%,楼外楼
30.253111863,120.1671550509,80%,外婆家(西湖天地南山路店)
29.9074837724,119.9555975724,0%,杭州龙门驿雷迪森庄园
30.2797608853,119.9409057535,0%,大鹿岛
30.2356681824,120.1401269382,88%,曼殊怀石料理
29.5868826049,119.048621315,60%,千岛湖渔村
30.2489139336,120.189313115,100%,舟山朱家尖东沙
30.3033089589,120.1745759641,100%,海底捞火锅(绍兴路店)
30.2574307216,120.2070543734,90%,帕米尔餐厅
30.1804929459,120.146380104,70%,杭州餐饮
30.2555740697,120.1696669997,76%,新白鹿餐厅(解百新元华店)
30.2806434631,120.0779477516,70%,汝拉小镇(西溪店)
30.2576732635,120.1718246934,84%,吴山烤禽(吴山店)
30.2755449428,120.165339683,70%,浙江特产(武林店)
30.3041438738,120.3941910066,70%,多山海鲜自助火锅
30.2360697209,120.3511967929,70%,烧烤园
30.2616634369,120.1676380454,100%,天天旺酒楼
30.2137012482,120.1604452605,80%,德明饭店(八卦新村店)
30.29651,120.009034,0%,碧桃小馆
29.6211506716,119.0444927957,0%,千岛湖开元度假村.凝香苑
30.2718630615,120.1928050674,0%,杭州小吃
29.6431283888,119.0388147998,0%,温馨岛蝶来度假酒店中餐厅
30.0041430992,120.2916623444,0%,杭州天域·开元酒店(仙那都西餐厅)
30.2572602545,120.0605973807,100%,西溪花间堂茴香餐厅
29.5996189117,119.015129074,0%,千岛湖梅地亚君澜度假酒店(文广轩中餐厅)
30.2488517761,120.2227206189,0%,火锅小镇
30.2399520874,120.1414317251,0%,西湖国宾馆·大堂吧
30.259976,120.22157,100%,杭州柏悦酒店·潮餐厅&酒吧
30.3213005066,120.3411026001,80%,翰坂自助餐(高沙店)
30.2462755755,120.1779822873,80%,光复路小吃街
30.321143,120.100598,0%,茶确幸(天亿大厦店)
30.2880904331,120.182814487,80%,鼎燕餐厅
30.2691343714,120.169806215,80%,浙江饭店名人24小时餐厅
30.1848643048,120.268625169,60%,帝豪食府
30.3252171029,120.35264544,70%,香港岛餐厅
30.2670648093,120.1586272884,0%,味道杭州虾客码头
30.2701623945,120.1805047969,0%,杨国福麻辣烫(凤起路店)
30.2704630134,120.1804047316,0%,米宝宝快餐(凤起店)
30.1670818329,120.2744968554,0%,豪尚豪牛排馆(萧山新世纪广场店)
30.1769401356,120.103974349,100%,孙家正店
29.8065,119.7019,0%,浙江桐庐
30.31046,120.158199,0%,海底捞火锅(水晶城购物中心店)
30.2032665519,120.1402169724,0%,叶马茶楼(六和塔店)
30.17662684,120.2752030108,90%,锅内锅外(银隆店)
30.2461991386,120.174513725,60%,老杭州滋味
30.2635015738,120.175591699,90%,娃哈哈同乐大酒店
30.25,120.1302197196,74%,花房创意私厨
30.2328907486,119.7170652735,70%,可莎蜜儿(城中店)
30.3039606468,120.1532869698,100%,妙醍醐素食自助餐馆(香积寺店)
30.2473964691,120.1755765264,100%,高银巷美食街
29.8037457045,119.7057069828,70%,桐庐乡之味
29.610543,119.041555,70%,鱼宴馆·农家菜(千岛湖总店)
29.634617,119.251879,0%,茂山·青田野
29.631322,119.069596,0%,千岛湖民之宿
30.302952,120.281344,0%,自助餐厅
30.258104,120.169264,0%,LINE FRIENDS
30.302153,120.159434,0%,杭州小吃一条街
30.258822,120.215969,0%,海鲜自助餐
29.8117595396,119.5286246074,0%,桐庐秘境山乡咖啡吧
30.2545547842,120.2192950936,0%,多伦多海鲜自助(来福士店)
30.3163523116,120.0941013512,0%,浙大紫金港校区餐饮中心
30.2704298871,120.2071376285,0%,皇逸庭院酒店李白餐厅
30.1283690313,120.1942858555,0%,杭州世外桃源君澜度假酒店中餐厅
30.2264133985,120.1358033542,0%,过客山谷烤吧年会团建
30.3059731179,120.1525816682,0%,契弗利酒店丽格全日餐厅
30.24964475,120.1716684249,0%,外婆家(西湖银泰城店)
30.2485983798,120.172685689,0%,饮食餐厅
30.3022994995,120.395401001,0%,翰坂自助餐(东东城店)
30.3041477203,120.162822408,0%,外卖小店
30.1856002808,120.2749023438,0%,开元名都大酒店(萧山店)
29.5990985036,119.156839071,0%,几荷-临湖而憩
30.2456016541,120.1775883726,84%,御乐堂·戏茶食驿
30.2235660553,120.1298847735,84%,格物餐厅
29.8561170392,119.846624964,0%,云夕深澳里
30.259431839,120.1344277193,90%,山外山·林语花园餐厅
30.241276,120.182645,0%,方老大面
30.26052,120.170042,60%,外婆家(湖滨银泰in77店)
30.2427997589,120.1825037783,88%,慧娟面馆·餐厅(望江路店)
30.2559423644,120.1875006098,80%,新丰小吃(解放店)
30.3032951355,120.1612629691,80%,老头儿油爆虾(古水店)
30.2231365964,120.1424211988,90%,隐上花园餐厅(虎跑路店)
